,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
866,"Granviel, Kenneth",,United,1974,1975,7,9,Violación,Apuñalamiento,Menores
867,"Grate, Shawn",,United,2006,2016,5,5,Otros,Asesinato,Hombres
869,"Gray, Marvin",,United,1971,1992,3,41,Otros,Asesinato,Personas_Vulnerables
870,"Gray, Ricky Javon",,United,2005,2006,8,8,Otros,Asesinato,Desconocidos
871,"Gray, Ronald",,United,1986,1987,4,4,Violación,Asesinato,Hombres
872,"Green, Larry",The Death Angels,United,1973,1974,15,73+,Otros,Asesinato,Desconocidos
873,"Green, Ricky Lee",,United,1985,1986,4,12,Otros,Asesinato,Desconocidos
874,"Green, Samuel",The Terror of New England,United,1817,1821,2,2+,Otros,Asesinato,Desconocidos
875,"Greenawalt, Randy",,United,1974,1978,7,9,Otros,Asesinato,Hombres
876,"Greenwell, Harry Edward",I-65 Killer,United,1987,1989,3,3,Otros,Asesinato,Desconocidos
877,"Greenwood, Vaughn",The Skid Row Slasher,United,1964,1975,11,11,Otros,Asesinato,Personas_Vulnerables
879,"Gribble, Timothy",,United,1985,1987,2,3,Violación,Estrangulamiento,Hombres
880,"Griffin, Jeffery Lee",,United,1978,1979,3,3,Otros,Apuñalamiento,Personas_Vulnerables
881,"Grinder, James B.",,United,1976,1984,4,4,Otros,Asesinato,Mujeres
882,"Grissom, Richard",,United,1977,1989,4,4,Otros,Asesinato,Hombres
883,"Groves, Vincent",,United,1978,1988,7,20+,Violación,Estrangulamiento,Prostitutas
884,"Guerrero, Jose",,United,1995,1998,3,3,Violación,Estrangulamiento,Hombres
885,"Gunness, Belle",,United,1900,1908,25,40,Otros,Asesinato,Menores
886,"Hahn, Anna Marie",,United,1933,1937,5,5,Otros,Veneno,Hombres
888,"Hall, Andreas",,United,1847,1848,3,3,Otros,Asesinato,Personas_Vulnerables
890,"Hampton, T. J.",,United,1887,1893,5,5,Otros,Asesinato,Personas_Vulnerables
891,"Hance, William Henry",The Forces of Evil,United,1977,1978,4,4,Otros,Asesinato,Hombres
892,"Hankins, Terry",,United,2000,2001,5,5,Otros,Asesinato,Hombres
893,"Hansen, Robert",The Butcher Baker,United,1971,1983,17,21+,Violación,Asesinato,Hombres
894,"Harding, Donald Eugene",,United,1979,1980,6,7+,Otros,Asesinato,Hombres
895,Harpe Brothers,,United,1797,1804,39,50+,Otros,Asesinato,Desconocidos
896,"Harris, DeWayne Lee",The Seattle Jungle Killer,United,1997,1998,3,3+,Otros,Apuñalamiento,Prostitutas
897,"Harris, Michael Darnell",,United,1981,1982,4,10,Violación,Estrangulamiento,Hombres
898,"Harris, Robert Wayne",,United,1999,2000,6,6,Otros,Asesinato,Hombres
900,"Harrison, Kenneth",The Giggler,United,1967,1969,4,4,Otros,Asesinato,Personas_Vulnerables
901,"Harrison, Lester",,United,1951,1973,5,7,Violación,Asesinato,Hombres
902,"Harvey, Donald",The Angel of Death,United,1970,1987,37,80,Otros,Asesinato,Personas_Vulnerables
903,"Hassell, George",,United,1917,1926,13,13,Otros,Asesinato,Personas_Vulnerables
904,"Hatcher, Charles Ray",,United,1969,1982,2,16,Otros,Apuñalamiento,Menores
906,"Hayes, Robert",The Daytona Beach Killer,United,2005,2006,3,7+,Otros,Asesinato,Desconocidos
907,"Hayter, John Price",,United,1953,1986,3,3,Otros,Asesinato,Hombres
909,"Hazzard, Linda",,United,1908,1911,1,13,Otros,Asesinato,Desconocidos
910,"Heirens, William",The Lipstick Killer,United,1945,1946,3,3,Otros,Asesinato,Menores
911,"Helm, Boone",The Kentucky Cannibal,United,1850,1864,11,11+,Canibalismo,Asesinato,Hombres
912,"Henley, Elmer Wayne",The Houston Mass Murders,United,1970,1973,6,8+,Otros,Asesinato,Desconocidos
913,"Henry, John Ruthell",,United,1975,1985,3,3,Otros,Asesinato,Desconocidos
914,"Hermann, Francis",The Priestly Butcher,United,1890,1896,2,8,Otros,Asesinato,Menores
916,"Hernandez, Ramon Torres",,United,1994,2001,3,5+,Secuestro,Asesinato,Hombres
917,"Herzog, Loren",The Speed Freak Killers,United,1984,1999,3,19,Otros,Asesinato,Hombres
918,"Hickey, J. Frank",The Postcard Killer,United,1883,1911,3,3,Otros,Asesinato,Desconocidos
920,"Hill, Ivan",The 60 Freeway Killer,United,1979,1994,9,9+,Otros,Asesinato,Desconocidos
921,"Hill, Walter",,United,1952,1977,5,5,Otros,Asesinato,Personas_Vulnerables
922,"Hilton, Gary",The National Forest Serial Killer,United,2007,2008,4,4+,Secuestro,Asesinato,Desconocidos
923,"Hinton, Ronald",,United,1996,1999,3,3,Otros,Estrangulamiento,Hombres
924,"Hittle, Daniel",,United,1973,1989,7,7,Otros,Asesinato,Desconocidos
925,"Hoch, Johann Otto",The Stockyard Bluebeard,United,1890,1905,1,50+,Otros,Asesinato,Desconocidos
927,"Holman, Richard",,United,1978,1979,4,9+,Otros,Asesinato,Desconocidos
928,"Holmes, H. H.",,United,1891,1894,9,27+,Otros,Asesinato,Desconocidos
929,"Hooker, John Michael",,United,1971,1988,3,3,Otros,Apuñalamiento,Mujeres
931,"Hopewell, Raymont",,United,1999,2005,5,5,Otros,Asesinato,Desconocidos
932,"Hopkins, John W.",The Mohawk Ripper,United,1972,1978,3,3+,Violación,Apuñalamiento,No Clasificado
934,"Hoyt, Waneta",,United,1965,1971,5,5,Otros,Asesinato,Menores
935,"Hughes, Mervin Ray",The Serial Shooter,United,1986,1999,3,4+,Otros,Disparo,Personas_Vulnerables
936,"Hughes, Michael",,United,1986,1993,7,7+,Otros,Asesinato,Desconocidos
937,"Hughes, Philip Joseph",,United,1972,1975,3,3+,Otros,Asesinato,Hombres
938,"Hunter, Bert Leroy",,United,1968,1988,3,3,Otros,Asesinato,Hombres
940,"Huntsman, Megan",,United,1996,2006,6,6,Otros,Estrangulamiento,Menores
941,"Hyatt, Terry",,United,1979,1987,3,3+,Violación,Asesinato,Hombres
943,"Irvin, Leslie",,United,1954,1955,6,6+,Otros,Asesinato,Desconocidos
944,"Irvin, Marvin",,United,1979,1990,3,3,Otros,Asesinato,Hombres
945,"Jablonski, Phillip Carl",,United,1978,1991,5,5,Otros,Asesinato,Hombres
946,"Jackson, Calvin",,United,1973,1974,9,9,Otros,Asesinato,Hombres
947,"Jackson, Charles",,United,1975,1982,8,8+,Otros,Asesinato,Desconocidos
948,"Jackson, Homer",,United,1983,1993,4,4+,Violación,Estrangulamiento,Prostitutas
949,"Jackson, Ray",Gillham Park Strangler,United,1989,1990,6,6,Otros,Estrangulamiento,Prostitutas
950,"Jackson, Vickie Dawn",,United,2000,2001,10,10+,Otros,Veneno,Personas_Vulnerables
