,Nombre,Apodo,País,Año inicio,Año fin,Víctimas probadas,Víctimas estimadas,Delito principal,Forma de matar,Víctimas
1455,"Neal, Kevin Janson, 44[n 1]",,United,2017,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
1456,"King, Alvin Lee, 45",,United,1980,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
1457,"Klink, Herman, 40",,United,1933,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
1458,"Santiago-Ruiz, Esteban, 26",,United,2017,Unknown,5,Unconfirmed,Otros,Asesinato,hombres
1459,"Cooper, Simon",,United,1897,Unknown,5,Unconfirmed,Otros,Asesinato,desconocidos
1461,"Mellberg, Dean Allen, 20",,United,1994,Unknown,4,Unconfirmed,Otros,Asesinato,desconocidos
1462,"Kulak, Frank J., 41",,United,1969,Unknown,4,Unconfirmed,Otros,Asesinato,hombres
1463,"Decker, Newt, 35",,United,1908,Unknown,4,Unconfirmed,Otros,Asesinato,desconocidos
1464,"Pullen, Joseph, 40",,United,1923,Unknown,4,Unconfirmed,Otros,Asesinato,desconocidos
1465,"McLeod, Harvey Glenn, 22",,United,1972,Unknown,4,Unconfirmed,Otros,Asesinato,desconocidos
1466,"Sencion, Eduardo, 32",,United,2011,Unknown,4,Unconfirmed,Otros,Asesinato,desconocidos
1467,"Cornell, William",,United,1863,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1468,"Pearson, Moses, 31",,United,1976,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1469,"Clark, Michael Andrew, 16",,United,1965,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1470,"Sledge, Aaron",,United,1903,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1471,"Aranda, Bennie Bonifacio, 26",,United,1937,Unknown,3,Unconfirmed,Otros,Asesinato,hombres
1472,"Mozingo, Douglas Arthur, 29",,United,1982,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1473,"Sodini, George A., 48",,United,2009,Unknown,3,Unconfirmed,Otros,Asesinato,desconocidos
1474,"Attebury, Ira Theadore, 64",,United,1979,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1475,"Martinez, Arturo Tapia, 27",,United,2002,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1476,"Popadich, Ronald J., 39",,United,2002,Unknown,2,Unconfirmed,Otros,Asesinato,hombres
1477,"Reyes, Adrian Oswaldo Sura, 24 (accused)[n 1]",,United,2022,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1478,"Casteel, Luther V., 42",,United,2001,Unknown,2,Unconfirmed,Otros,Asesinato,hombres
1479,"Cho Mun Chu, 45[n 1]",,United,1988,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1480,"Sears, Charles, 32",,United,1981,Unknown,2,Unconfirmed,Otros,Asesinato,hombres
1481,"Smith, Russell Lee, 28",,United,1975,Unknown,2,Unconfirmed,Otros,Asesinato,hombres
1482,"Katz, David, 24",,United,2018,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1483,"Gonzales, Juan J., 43",,United,1986,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1484,"Pruyn, Kenyon William, 32",,United,1976,Unknown,2,Unconfirmed,Otros,Asesinato,hombres
1485,"Hopkins, Fred, 74 (accused)",,United,2018,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1486,"Walters, Raymond, 32",,United,2019,Unknown,2,Unconfirmed,Otros,Asesinato,desconocidos
1487,Rosario Alfonso,,Mexico,2018,2020,3,4,Otros,Asesinato,hombres
1488,Esteban Lorenzo Duarte,,Argentina,2004,2020,2,5,Otros,Asesinato,desconocidos
1489,Kenyel Brown,Metro Detroit killer,United,2001,2020,7,7,Otros,Asesinato,personas_vulnerables
1490,Travis Lewis,,United,1996,2020,3,3,Otros,Estrangulamiento,personas_vulnerables
1491,Andrey Yezhov,The Kashirsky Maniac,Russia,2010,2020,7,7,Otros,Asesinato,mujeres
1492,Ryan Scott Blinston,,United,2020,Unknown,3,3,Otros,Apuñalamiento,personas_vulnerables
1493,Omar Santos Loera,,Mexico,2010,2020,3,3,Otros,Asesinato,personas_vulnerables
1494,Ismael Antonio Sánchez and José Rojas,,Argentina,2019,2020,3,3,Otros,Asesinato,hombres
1495,Hugo Bustamante Pérez,,Chile,2005,2020,3,3,Otros,Asesinato,desconocidos
1496,Lissa María Caiza,Mrs. Poison,Ecuador,2020,Unknown,3,5,Otros,Veneno,menores
1497,Yuri Sparihin,The Novorossiysk Maniac,Soviet,1980,2020,4,4,Violación,Asesinato,menores
1498,Diego Ruiz Restrepo,The Psychopath of Meiggs,Chile,2020,Unknown,8,20,Otros,Asesinato,personas_vulnerables
1499,Harold David Haulman III,,Germany,1999,2020,3,4,Otros,Asesinato,hombres
1500,Omar Fernandez Herrada,,Bolivia,2017,2020,4,4,Otros,Asesinato,personas_vulnerables
1502,Rustam Kiknadze,,Kazakhstan,2004,2020,5,5,Violación,Asesinato,hombres
1503,Nikolay Tishov,,Russia,2020,Unknown,1,3,Otros,Asesinato,hombres
1504,Sean Michael Lannon,,United,2021,Unknown,1,16,Otros,Asesinato,hombres
